image_path,text_path,label
data/images/9/aff7d827-9a2d-4e6b-8223-aa4d89401f63.TIF,data/ocr/9/aff7d827-9a2d-4e6b-8223-aa4d89401f63.TIF.txt,9
data/images/6/bab68d6c-1cad-42f3-9822-ea1899eb7ab7.TIF,data/ocr/6/bab68d6c-1cad-42f3-9822-ea1899eb7ab7.TIF.txt,6
data/images/2/6ac6b4b5-cc5a-4738-a470-195502d9d8d8.TIF,data/ocr/2/6ac6b4b5-cc5a-4738-a470-195502d9d8d8.TIF.txt,2
data/images/6/117de058-45d6-41bd-b3e0-c6e8555e8d72.TIF,data/ocr/6/117de058-45d6-41bd-b3e0-c6e8555e8d72.TIF.txt,6
data/images/2/4fa8fb09-5cbd-49d7-bd1a-51cba0399588.TIF,data/ocr/2/4fa8fb09-5cbd-49d7-bd1a-51cba0399588.TIF.txt,2
data/images/6/f62a030f-54ea-4a44-81a7-3c8f63558314.TIF,data/ocr/6/f62a030f-54ea-4a44-81a7-3c8f63558314.TIF.txt,6
data/images/4/56501459-e5d3-433e-acb2-6c89bedfe55d.TIF,data/ocr/4/56501459-e5d3-433e-acb2-6c89bedfe55d.TIF.txt,4
data/images/6/44f3d2c3-7e88-4aa0-925b-bb166179cfbe.TIF,data/ocr/6/44f3d2c3-7e88-4aa0-925b-bb166179cfbe.TIF.txt,6
data/images/4/52bfe7fa-f5f5-443e-808a-83ce23e1155e.TIF,data/ocr/4/52bfe7fa-f5f5-443e-808a-83ce23e1155e.TIF.txt,4
data/images/0/2399fa73-e5a7-4348-a857-407768a2c441.TIF,data/ocr/0/2399fa73-e5a7-4348-a857-407768a2c441.TIF.txt,0
data/images/0/21787d59-8418-4cc7-a0be-53a5570abd1a.TIF,data/ocr/0/21787d59-8418-4cc7-a0be-53a5570abd1a.TIF.txt,0
data/images/6/4fec1914-012a-4771-b9d8-bf94c7665d9d.TIF,data/ocr/6/4fec1914-012a-4771-b9d8-bf94c7665d9d.TIF.txt,6
data/images/6/e7741031-7096-457d-ac60-ad0afce86a23.TIF,data/ocr/6/e7741031-7096-457d-ac60-ad0afce86a23.TIF.txt,6
data/images/6/7b760a04-3a1d-4221-8de8-c586d3889af3.TIF,data/ocr/6/7b760a04-3a1d-4221-8de8-c586d3889af3.TIF.txt,6
data/images/9/f2e9eb33-fa7b-4cd8-bce8-d857249e2eb5.TIF,data/ocr/9/f2e9eb33-fa7b-4cd8-bce8-d857249e2eb5.TIF.txt,9
data/images/4/3215f6c1-7b15-45ab-b853-0d16a7220b54.TIF,data/ocr/4/3215f6c1-7b15-45ab-b853-0d16a7220b54.TIF.txt,4
data/images/6/5023e917-d3e3-4c0f-8e03-8bb599d7e88c.TIF,data/ocr/6/5023e917-d3e3-4c0f-8e03-8bb599d7e88c.TIF.txt,6
data/images/6/491bdcf6-eb1b-44b2-b77e-e120534d2be2.TIF,data/ocr/6/491bdcf6-eb1b-44b2-b77e-e120534d2be2.TIF.txt,6
data/images/4/794b5450-e1d9-423e-8a67-2d75b6f08cdf.TIF,data/ocr/4/794b5450-e1d9-423e-8a67-2d75b6f08cdf.TIF.txt,4
data/images/4/788ac767-a7cd-4c3f-8eb8-5826885d0d7c.TIF,data/ocr/4/788ac767-a7cd-4c3f-8eb8-5826885d0d7c.TIF.txt,4
data/images/9/d4dfd6ac-4828-4d62-90ba-6b20cbb95e53.TIF,data/ocr/9/d4dfd6ac-4828-4d62-90ba-6b20cbb95e53.TIF.txt,9
data/images/2/dca2f70b-57d9-41e2-9356-5094c4dd6ad7.TIF,data/ocr/2/dca2f70b-57d9-41e2-9356-5094c4dd6ad7.TIF.txt,2
data/images/6/19416f32-ed93-4e66-bea6-5be90058e2bd.TIF,data/ocr/6/19416f32-ed93-4e66-bea6-5be90058e2bd.TIF.txt,6
data/images/0/deffbbb1-56c8-4fb1-a0a3-c17158c655d9.TIF,data/ocr/0/deffbbb1-56c8-4fb1-a0a3-c17158c655d9.TIF.txt,0
data/images/6/76d75408-7aa7-4d2d-a11e-e9ce4073e7dc.TIF,data/ocr/6/76d75408-7aa7-4d2d-a11e-e9ce4073e7dc.TIF.txt,6
data/images/0/8ec9f184-7d4c-4a4c-af13-3ef1537fae8f.TIF,data/ocr/0/8ec9f184-7d4c-4a4c-af13-3ef1537fae8f.TIF.txt,0
data/images/9/f47f3e05-39d7-4fb4-8a4a-570f0222b705.TIF,data/ocr/9/f47f3e05-39d7-4fb4-8a4a-570f0222b705.TIF.txt,9
data/images/2/64dd7fa4-5486-46f5-af91-b88a9c908552.TIF,data/ocr/2/64dd7fa4-5486-46f5-af91-b88a9c908552.TIF.txt,2
data/images/0/74199a4b-572a-4d31-bd3f-2ca38ca31747.TIF,data/ocr/0/74199a4b-572a-4d31-bd3f-2ca38ca31747.TIF.txt,0
data/images/4/687a5049-25a1-4f2b-9a37-2dd798635c6c.TIF,data/ocr/4/687a5049-25a1-4f2b-9a37-2dd798635c6c.TIF.txt,4
data/images/9/21675296-fe28-4ffb-978d-7b666ae85996.TIF,data/ocr/9/21675296-fe28-4ffb-978d-7b666ae85996.TIF.txt,9
data/images/2/929c4635-e623-4fa7-8420-cf2d65fdc96b.TIF,data/ocr/2/929c4635-e623-4fa7-8420-cf2d65fdc96b.TIF.txt,2
data/images/6/dde3195f-7ee6-4f86-b0c1-a6f92c2bc1f2.TIF,data/ocr/6/dde3195f-7ee6-4f86-b0c1-a6f92c2bc1f2.TIF.txt,6
data/images/6/7c9cf22a-2650-4d02-b489-486b1266948d.TIF,data/ocr/6/7c9cf22a-2650-4d02-b489-486b1266948d.TIF.txt,6
data/images/6/2aaaa9d3-e968-4ed9-a090-b996b3477b59.TIF,data/ocr/6/2aaaa9d3-e968-4ed9-a090-b996b3477b59.TIF.txt,6
data/images/2/be416348-23c5-456f-afd6-21aba348fe67.TIF,data/ocr/2/be416348-23c5-456f-afd6-21aba348fe67.TIF.txt,2
data/images/9/555823db-a883-4406-a01b-2b2e86e9fb0b.TIF,data/ocr/9/555823db-a883-4406-a01b-2b2e86e9fb0b.TIF.txt,9
data/images/2/4f3fb033-bcb1-4251-a1bd-b3ce0cd75009.TIF,data/ocr/2/4f3fb033-bcb1-4251-a1bd-b3ce0cd75009.TIF.txt,2
data/images/4/2e72f475-af7c-477b-a2c8-00d642027e71.TIF,data/ocr/4/2e72f475-af7c-477b-a2c8-00d642027e71.TIF.txt,4
data/images/0/227f1c8b-9f83-4fa5-8ac3-848d378747ae.TIF,data/ocr/0/227f1c8b-9f83-4fa5-8ac3-848d378747ae.TIF.txt,0
data/images/4/946808f2-6a34-4051-8626-b4b613edee85.TIF,data/ocr/4/946808f2-6a34-4051-8626-b4b613edee85.TIF.txt,4
data/images/2/ded95008-3df3-48b6-86ec-c5d8a7c55c96.TIF,data/ocr/2/ded95008-3df3-48b6-86ec-c5d8a7c55c96.TIF.txt,2
data/images/9/bd801920-6bad-42ae-ae7c-329e05e637f1.TIF,data/ocr/9/bd801920-6bad-42ae-ae7c-329e05e637f1.TIF.txt,9
data/images/0/4c0dab0f-52e6-499b-96f4-3784ee49015a.TIF,data/ocr/0/4c0dab0f-52e6-499b-96f4-3784ee49015a.TIF.txt,0
data/images/6/ad442281-d5cb-4d57-b651-6a86279ff467.TIF,data/ocr/6/ad442281-d5cb-4d57-b651-6a86279ff467.TIF.txt,6
data/images/0/33765bbb-61bb-4680-8f6a-f8a647f2704a.TIF,data/ocr/0/33765bbb-61bb-4680-8f6a-f8a647f2704a.TIF.txt,0
data/images/2/f2cb72f3-95aa-4149-9fe7-65707fdd050b.TIF,data/ocr/2/f2cb72f3-95aa-4149-9fe7-65707fdd050b.TIF.txt,2
